"TimeCreated","Id","LevelDisplayName","Message"
"06-10-2025 11:26:44 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"06-10-2025 11:26:44 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"06-10-2025 11:26:40 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"04-10-2025 10:46:12 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"04-10-2025 10:46:12 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"04-10-2025 10:46:12 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"04-10-2025 10:46:12 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"04-10-2025 10:45:49 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"03-10-2025 10:56:44 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"03-10-2025 10:56:44 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"03-10-2025 10:56:44 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"03-10-2025 10:56:44 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"03-10-2025 10:56:40 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
