"Name","DisplayName","Enabled","Action","Direction","Profile","Program"
"RemoteSvcAdmin-In-TCP-NoScope","Remote Service Management (RPC)","False","Allow","Inbound","Domain",
"NVS-FrameServer-Out-TCP-NoScope","Microsoft Media Foundation Network Source OUT [TCP ALL]","True","Allow","Outbound","Any",
"PNRPMNRS-PNRP-Out-UDP","Windows Collaboration Computer Name Registration Service (PNRP-Out)","False","Allow","Outbound","Any",
"MSDTC-RPCSS-In-TCP","Distributed Transaction Coordinator (RPC-EPMAP)","False","Allow","Inbound","Private, Public",
"NETDIS-UPnPHost-In-TCP","Network Discovery (UPnP-In)","True","Allow","Inbound","Public",
"CoreNet-ICMP6-NDA-Out","Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","True","Allow","Outbound","Any",
"AllJoyn-Router-Out-UDP","AllJoyn Router (UDP-Out)","True","Allow","Outbound","Domain, Private",
"RemoteFwAdmin-RPCSS-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Allow","Inbound","Domain",
"RemoteSvcAdmin-NP-In-TCP","Remote Service Management (NP-In)","False","Allow","Inbound","Private, Public",
"Microsoft-Windows-DeviceManagement-deviceenroller-TCP-Out","Windows Device Management Device Enroller (TCP out)","True","Allow","Outbound","Any",
"CoreNet-ICMP6-LQ-Out","Core Networking - Multicast Listener Query (ICMPv6-Out)","True","Allow","Outbound","Any",
"Collab-PNRP-SSDPSrv-Out-UDP","Windows Peer to Peer Collaboration Foundation (SSDP-Out)","False","Allow","Outbound","Any",
"NETDIS-NB_Name-In-UDP-NoScope","Network Discovery (NB-Name-In)","False","Allow","Inbound","Domain",
"CoreNet-Diag-ICMP6-EchoRequest-In","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Allow","Inbound","Private, Public",
"RVM-RPCSS-In-TCP-NoScope","Remote Volume Management (RPC-EPMAP)","False","Allow","Inbound","Domain",
"RVM-VDSLDR-In-TCP","Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Allow","Inbound","Private, Public",
"TPMVSCMGR-RPCSS-In-TCP","TPM Virtual Smart Card Management (DCOM-In)","False","Allow","Inbound","Private, Public",
"TPMVSCMGR-Server-In-TCP","TPM Virtual Smart Card Management (TCP-In)","False","Allow","Inbound","Private, Public",
"TPMVSCMGR-Server-Out-TCP","TPM Virtual Smart Card Management (TCP-Out)","False","Allow","Outbound","Private, Public",
