"TimeCreated","Id","LevelDisplayName","Message"
"31-10-2025 05:50:23 PM","113","Information","Attempted to add URL (http://*:5357/4de56efd-99e3-4a55-80de-d1baf4698e76/) to URL group (0xFE00000820000004). Status: 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:50:23 PM","111","Information","Create URL group 0xFE00000820000004. Status 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:50:23 PM","117","Information","Delete URL group 0xFE00001320000001. Status 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:50:23 PM","114","Information","Removed URL (http://*:5357/ec3c45b0-e3a4-4490-9946-99c267aa159a/) from URL group (0xFE00001320000001). Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:50:23 PM","113","Information","Attempted to add URL (http://*:5357/ec3c45b0-e3a4-4490-9946-99c267aa159a/) to URL group (0xFE00001320000001). Status: 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:50:23 PM","111","Information","Create URL group 0xFE00001320000001. Status 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 05:38:21 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"31-10-2025 05:36:17 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"31-10-2025 04:59:19 PM","506","Information","The system is entering Modern Standby 

Reason: Idle Timeout."
"31-10-2025 04:59:19 PM","566","Information","The system session has transitioned from 15 to 16.

Reason SessionUnlock 

BootId: 351"
"31-10-2025 04:48:59 PM","566","Information","The system session has transitioned from 13 to 15.

Reason InputHid 

BootId: 351"
"31-10-2025 04:48:59 PM","507","Information","The system is exiting Modern Standby 

Reason: Input Mouse."
"31-10-2025 04:40:35 PM","506","Information","The system is entering Modern Standby 

Reason: Idle Timeout."
"31-10-2025 04:40:35 PM","566","Information","The system session has transitioned from 12 to 13.

Reason SessionUnlock 

BootId: 351"
"31-10-2025 04:40:04 PM","566","Information","The system session has transitioned from 10 to 12.

Reason InputHid 

BootId: 351"
"31-10-2025 04:40:04 PM","507","Information","The system is exiting Modern Standby 

Reason: Input Mouse."
"31-10-2025 03:52:58 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"31-10-2025 03:50:53 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"31-10-2025 03:38:17 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"31-10-2025 03:36:12 PM","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"31-10-2025 03:20:29 PM","16","Information","The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Office.ActionsServer_16.0.19429.20002_neutral__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"31-10-2025 03:20:29 PM","16","Information","The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.OfficePushNotificationUtility_16.0.19429.20002_neutral__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"31-10-2025 02:52:38 PM","506","Information","The system is entering Modern Standby 

Reason: Idle Timeout."
"31-10-2025 02:52:38 PM","566","Information","The system session has transitioned from 9 to 10.

Reason SessionUnlock 

BootId: 351"
"31-10-2025 02:49:49 PM","566","Information","The system session has transitioned from 7 to 9.

Reason InputHid 

BootId: 351"
"31-10-2025 02:49:49 PM","507","Information","The system is exiting Modern Standby 

Reason: Input Mouse."
"31-10-2025 02:47:02 PM","506","Information","The system is entering Modern Standby 

Reason: Idle Timeout."
"31-10-2025 02:47:02 PM","566","Information","The system session has transitioned from 6 to 7.

Reason SessionUnlock 

BootId: 351"
"31-10-2025 02:23:11 PM","566","Information","The system session has transitioned from 4 to 6.

Reason InputAccelerometer 

BootId: 351"
"31-10-2025 02:23:11 PM","507","Information","The system is exiting Modern Standby 

Reason: Input Keyboard."
"31-10-2025 02:16:05 PM","506","Information","The system is entering Modern Standby 

Reason: Idle Timeout."
"31-10-2025 02:16:05 PM","566","Information","The system session has transitioned from 3 to 4.

Reason SessionUnlock 

BootId: 351"
"31-10-2025 02:07:47 PM","117","Information","Delete URL group 0xFE00000020000001. Status 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
